0x00fb614c  class ?$Data@$00$07$07@Bloomberg
0x00fb54d0  class ?$Event_Z@ABVEventArgs_Z@@
0x00fa18fc  class ?$FileData@$00$07$07@Bloomberg
0x00f4ecc8  class ?$Map_Z@V?$String_Z@$0BAA@@@I$0CF@U?$String_ZHashFunctor_Z@$0BAA@@@
0x00fb5a94  class ?$Singleton_Z@VInputEngine_Z@@
0x00fb53f4  class ?$StringMap_Z@I$0BAA@U?$String_ZHashFunctor_Z@$0BAA@@@$0CF@
0x00f4c1c8  class AnticheatManager_Z::AnticheatThread
0x00f4ee3c  class BaseEvent_Z
0x00f4ca74  class BitmapPc_Z
0x00fb4ce4  class Bitmap_Z
0x00fb66cc  class Bloomberg::BloombergThread
0x00fa3da8  class Bloomberg::BloombergThreadInterface
0x00fb6490  class Bloomberg::CrashAnalyser
0x00fa465c  class Bloomberg::CrashAnalyzerInterface
0x00fb6510  class Bloomberg::CrashHandler
0x00fa1aa0  class Bloomberg::CrashHandlerInterface
0x00fa19b4  class Bloomberg::DataSender
0x00fb63b0  class Bloomberg::FileDataSender
0x00fa0434  class Bloomberg::ReportContextInformation
0x00fb6270  class Bloomberg::ReportCrash
0x00fa17d8  class Bloomberg::ReportCrash::Minidump
0x00fb6100  class Bloomberg::ReportCrash::ScreenShot
0x00fb631c  class Bloomberg::ReportFlag
0x00fb62d0  class Bloomberg::ReportFlag::ScreenShot
0x00fa17c0  class Bloomberg::ReportInterface
0x00fb6638  class Bloomberg::ReportStats
0x00fa33e0  class Bloomberg::ReportStats::StatsData
0x00fb65a4  class Bloomberg::Socket
0x00fb63fc  class Bloomberg::SocketDataSender
0x00fa285c  class Bloomberg::SocketInterface
0x00fa413c  class Bloomberg::Stats
0x00fa41c8  class Bloomberg::SymbolEngine
0x00f4cd14  class CBandiCaptureLibrary
0x00fb4f78  class D3D_Renderer_Z
0x00fb4e70  class DXEffectIncludeManager
0x00fb5220  class ElementContainer_Z
0x00f4ef4c  class EventArgs_Z
0x00fb59f0  class FileDescriptorPC_Z
0x00f4f5f4  class FileDescriptor_Z
0x00fb5970  class FileManagerPC_Z
0x00fb4b70  class Gear::LocalStorage
0x00fb5080  class HardwareConfigurationPC_Z
0x00f4d82c  class HttpProxyManagerPC_Z
0x00f4e52c  class IndexContainerPc_Z
0x00fb52cc  class InputDevice_Z
0x00f4e5b4  class InputEvent_Z
0x00f4e600  class KeyboardPC_Z
0x00f4f79c  class MeshPc_Z
0x00f4eebc  class MoviePlayerPC_Z
0x00fb551c  class MoviePlayer_Z
0x00f4ef54  class NetworkManagerPC_Z
0x00fb5bd4  class ObjectDatas_Z
0x00fb58a8  class PCTimeManager
0x00f4f834  class ParticlesDataPC_Z
0x00f4de14  class ParticlesPC_Z
0x00f4f09c  class RuntimeConfigurationPC_Z
0x00f4cc3c  class ShaderCompiler_Z
0x00f4cc7c  class ShaderPCCompiler_Z
0x00f4f1e4  class ShaderPc_Z
0x00f4c18c  class SimpleThread_Z
0x00f4f934  class SkinDataPc_Z
0x00f4f8c4  class SkinPc_Z
0x00f4f3b4  class TexturePc_Z
0x00f4f414  class VertexContainerPc_Z
0x00f4f6ec  class WinInput_Z
0x00fb5354  class WinMsgInputEventPC_Z
0x00fb6c6c  class _com_error
0x00fb49f0  class std::_Generic_error_category
0x00df29dc  class std::_Iostream_error_category
0x00df2a1c  class std::_System_error_category
0x00fb5ea0  class std::bad_alloc
0x00df298c  class std::error_category
0x00f4fb0c  class std::length_error
0x00fb5eec  class std::logic_error
0x00f4fb18  class std::out_of_range
0x00fa8d44  class type_info
0x00fa08d0  struct Bloomberg::ConnectionManager::Connection
0x00fb6068  struct Bloomberg::ConnectionManager::FileConnection
0x00fb60b4  struct Bloomberg::ConnectionManager::SocketConnection
